t,A,B,C,D,E,
1.192348,654,313,31,2,0,
1.195191,653,314,31,2,0,
1.203251,653,313,32,2,0,
1.206183,652,314,32,2,0,
1.208530,651,315,32,2,0,
1.210753,650,316,32,2,0,
1.214045,649,317,32,2,0,
1.217455,648,318,32,2,0,
1.220167,647,319,32,2,0,
1.226923,646,320,32,2,0,
1.228910,645,321,32,2,0,
1.232356,644,322,32,2,0,
1.236061,643,323,32,2,0,
1.238211,643,322,33,2,0,
1.241123,642,323,33,2,0,
1.243163,641,324,33,2,0,
1.246295,640,325,33,2,0,
1.248407,640,324,34,2,0,
1.252619,640,323,35,2,0,
1.255045,640,322,36,2,0,
1.259037,639,323,36,2,0,
1.262805,638,324,36,2,0,
1.265715,637,325,36,2,0,
1.269443,636,326,36,2,0,
1.272325,636,325,37,2,0,
1.279409,635,326,37,2,0,
1.281244,634,327,37,2,0,
1.283026,633,328,37,2,0,
1.285081,632,329,37,2,0,
1.289006,631,330,37,2,0,
1.291185,630,331,37,2,0,
1.295230,629,332,37,2,0,
1.300406,629,331,38,2,0,
1.304403,629,330,39,2,0,
1.307994,629,329,40,2,0,
1.309728,628,330,40,2,0,
1.312463,628,329,41,2,0,
1.314429,627,330,41,2,0,
1.317163,626,331,41,2,0,
1.319660,625,332,41,2,0,
1.322245,624,333,41,2,0,
1.324633,623,334,41,2,0,
1.327301,622,335,41,2,0,
1.330982,621,336,41,2,0,
1.333461,620,337,41,2,0,
1.338899,619,338,41,2,0,
1.340758,619,337,42,2,0,
1.343218,618,338,42,2,0,
1.344979,617,339,42,2,0,
1.347431,617,338,43,2,0,
1.349219,616,339,43,2,0,
1.354524,615,340,43,2,0,
1.356658,614,341,43,2,0,
1.358474,613,342,43,2,0,
1.362226,612,343,43,2,0,
1.365422,611,344,43,2,0,
1.368860,611,343,44,2,0,
1.376145,611,343,43,3,0,
1.381295,610,344,43,3,0,
1.383799,609,345,43,3,0,
1.385737,608,346,43,3,0,
1.390251,607,347,43,3,0,
1.397517,606,348,43,3,0,
1.399482,605,349,43,3,0,
1.402675,605,348,44,3,0,
1.405205,604,349,44,3,0,
1.408746,603,350,44,3,0,
1.410800,603,349,45,3,0,
1.414536,602,350,45,3,0,
1.421987,601,351,45,3,0,
1.427477,600,352,45,3,0,
1.430743,599,353,45,3,0,
1.435115,598,354,45,3,0,
1.437962,597,355,45,3,0,
1.440234,597,354,46,3,0,
1.442070,596,355,46,3,0,
1.445838,595,356,46,3,0,
1.449571,594,357,46,3,0,
1.454194,593,358,46,3,0,
1.455993,592,359,46,3,0,
1.459791,592,358,47,3,0,
1.463067,592,357,48,3,0,
1.465912,591,358,48,3,0,
1.468151,591,357,49,3,0,
